StrongsId,ReferenceCount,PartOfSpeech
H0690,1,proper masculine noun
H0691,1,masculine noun
H0692,3,proper masculine noun
H0693,41,verb
H0694,1,proper locative noun
H0695,2,masculine noun
H0696,1,masculine noun
H0697,24,masculine noun
H0698,1,feminine noun
H0699,9,feminine noun
H0700,1,proper locative noun
H0701,1,adjective
H0702,318,masculine/feminine adjective, noun
H0703,8,masculine/feminine adjective, noun
H0704,0,proper masculine noun
H0705,135,plural adjective, noun
H0706,1,adverb
H0707,13,verb
H0708,2,masculine noun
H0709,5,proper locative noun, proper masculine noun
H0710,1,masculine noun
H0711,3,masculine noun
H0712,3,masculine noun
H0713,38,masculine noun
H0714,2,proper masculine noun
H0715,1,proper masculine noun
H0716,1,substantival adjective
H0717,2,verb
H0718,5,interjection
H0719,2,proper locative noun
H0720,1,proper masculine noun
H0721,2,adjective
H0722,2,adjective
H0723,3,feminine noun
H0724,6,feminine noun
H0725,1,proper locative noun
H0726,1,adjective
H0727,202,masculine noun
H0728,9,proper masculine noun
H0729,4,adjective, verb
H0730,70,masculine noun
H0731,1,collective feminine noun
H0732,5,verb
H0733,4,proper masculine noun
H0734,59,masculine noun
H0735,2,masculine noun
H0736,2,feminine noun
H0737,6,feminine noun
H0738,78,masculine noun
H0739,2,masculine noun
H0740,6,proper masculine/feminine noun
H0741,2,masculine noun
H0742,1,proper masculine noun
H0743,2,proper masculine noun
H0744,10,masculine noun
H0745,1,proper masculine noun
H0746,7,proper masculine noun
H0747,1,proper masculine noun
H0748,34,verb
H0749,1,verbal adjective, verb
H0750,15,adjective
H0751,1,proper locative noun
H0752,3,adjective
H0753,95,masculine noun
H0754,2,feminine noun
H0755,1,feminine noun
H0756,1,proper gentilic noun
H0757,6,gentilic adjective
H0758,133,masculine noun, proper masculine noun
H0759,32,masculine noun
H0760,1,proper locative noun
H0761,11,adjective
H0762,5,adverb
H0763,5,proper locative noun
H0764,1,proper masculine noun
H0765,2,proper masculine noun
H0766,1,masculine noun
H0767,1,proper masculine noun
H0768,2,feminine noun
H0769,25,proper locative noun
H0770,1,proper masculine noun
H0771,12,proper masculine noun
H0772,21,masculine noun
H0773,1,feminine noun
H0774,6,proper locative noun
H0775,9,proper masculine noun
H0776,2503,feminine noun
H0777,1,proper masculine noun
H0778,1,feminine noun
H0779,63,verb
H0780,4,proper locative noun
H0781,11,verb
H0782,1,feminine noun
H0783,15,proper masculine noun
H0784,377,feminine noun
H0785,1,feminine noun
H0786,1,adverb, substantive
H0787,3,masculine noun
H0788,3,proper masculine noun
H0789,1,adjective
H0790,2,proper masculine noun
H0791,1,proper masculine noun
H0792,2,proper masculine noun
H0793,1,masculine noun
H0794,6,feminine noun
H0795,17,proper locative noun
H0796,5,adjective
H0797,1,adverb
H0798,0,proper locative noun
H0799,1,feminine noun
H0800,1,feminine noun
H0801,65,masculine noun
H0802,781,feminine noun
H0803,1,feminine noun
H0804,151,proper locative noun, proper masculine noun
H0805,2,adjective, proper masculine noun
H0806,2,proper masculine noun
H0807,1,proper masculine noun
H0808,1,feminine noun
H0809,4,feminine noun
H0810,1,masculine noun
H0811,9,masculine noun
H0812,6,masculine noun, proper locative noun
H0813,3,proper masculine noun
H0814,2,masculine noun
H0815,3,masculine noun
H0816,35,verb
H0817,46,masculine noun
H0818,3,adjective
H0819,19,feminine noun
H0820,1,masculine noun
H0821,7,feminine noun
H0822,2,masculine noun
H0823,2,proper locative noun
H0824,1,proper locative noun
H0825,2,masculine noun
H0826,6,masculine noun
H0827,6,feminine noun
H0828,1,proper masculine noun
H0829,2,masculine noun
H0830,7,masculine noun
H0831,12,proper locative noun
H0832,1,adjective
H0833,16,verb
H0834,5502,conjunction, relative pronoun
H0835,45,masculine noun
H0836,43,proper locative noun, proper masculine noun
H0837,1,masculine noun
H0838,9,feminine noun
H0839,1,feminine noun
H0840,1,proper masculine noun
H0841,1,proper masculine noun
H0842,40,proper feminine noun
H0843,1,adjective
H0844,3,proper masculine noun
H0845,1,adjective
H0846,2,masculine noun
H0847,7,proper locative noun
H0848,1,adjective
H0849,2,masculine noun
H0850,2,proper masculine noun
H0851,6,proper locative noun, proper masculine noun
H0852,3,feminine noun
H0853,11050,particle
H0854,809,preposition
H0855,5,masculine noun
H0856,1,proper masculine noun
H0857,21,verb
H0858,16,verb
H0859,1091,personal pronoun
H0860,34,feminine noun
H0861,10,masculine noun
H0862,5,masculine noun
H0863,9,proper masculine noun
H0864,4,proper locative noun
H0865,8,adverb, substantive
H0866,1,feminine noun
H0867,1,proper masculine noun
H0868,11,masculine noun
H0869,1,proper masculine noun
H0870,8,masculine noun
H0871,1,proper locative noun
H0872,1,feminine noun
H0873,1,feminine noun
H0874,3,verb
H0875,37,feminine noun
H0876,2,proper locative noun
H0877,4,masculine noun
H0878,1,proper masculine noun
H0879,1,proper locative noun
H0880,1,proper masculine noun
H0881,5,proper locative noun
H0882,2,proper masculine noun
H0883,3,proper locative noun
H0884,34,proper locative noun
H0885,1,proper locative noun
H0886,5,adjective
H0887,18,verb
H0888,1,verb
H0889,3,masculine noun
H0890,1,feminine noun
H0891,2,masculine plural noun
H0892,1,feminine noun
H0893,6,proper masculine noun
H0894,262,proper locative noun
H0895,25,proper locative noun
H0896,1,plural emphatic substantival adjective
H0897,1,masculine noun
H0898,48,verb
H0899,217,masculine noun
H0900,1,feminine noun
H0901,3,adjective
H0902,6,proper masculine noun
H0903,1,proper masculine noun
H0904,2,proper masculine noun
H0905,201,masculine noun
H0906,23,masculine noun
H0907,5,masculine noun
H0908,2,verb
H0909,4,verb
H0910,12,adverb, masculine noun
H0911,2,proper masculine noun
H0912,1,proper masculine noun
H0913,6,masculine noun
H0914,42,verb
H0915,1,masculine noun
H0916,2,masculine noun
H0917,2,proper masculine noun
H0918,1,verb
H0919,10,masculine noun
H0920,1,proper masculine noun
H0921,1,verb
H0922,3,masculine noun
H0923,1,masculine noun
H0924,1,adverb
H0925,1,adjective
H0926,37,verb
H0927,11,verb
H0928,4,feminine noun
H0929,190,feminine noun
H0930,1,masculine noun
H0931,16,feminine noun
H0932,2,proper masculine noun
H0933,1,masculine noun
H0934,12,feminine noun
H0935,2571,verb
H0936,11,verb
H0937,12,masculine noun
H0938,3,proper masculine noun
H0939,1,feminine noun
H0940,2,adjective
H0941,1,proper masculine noun
H0942,1,proper masculine noun
H0943,3,verb
H0944,2,masculine noun
H0945,1,masculine noun
H0946,1,proper masculine noun
H0947,12,verb
H0948,8,masculine noun
H0949,1,proper locative noun
H0950,1,feminine noun
H0951,1,masculine noun
H0952,1,verb
H0953,67,masculine noun
H0954,113,verb
H0955,4,feminine noun
H0956,1,verb
H0957,24,masculine noun
H0958,2,verb
H0959,44,verb
H0960,1,adjective
H0961,10,feminine noun
H0962,43,verb
H0963,1,masculine noun
H0964,1,proper locative noun
H0965,1,masculine noun
H0966,3,proper locative noun
H0967,2,verb
H0968,1,proper masculine noun
H0969,1,masculine noun
H0970,64,masculine noun
H0971,1,masculine noun
H0972,13,masculine noun
H0973,2,verb
H0974,29,verb
H0975,1,masculine noun
H0976,1,masculine noun (used as an adjective)
H0977,152,verb
H0978,1,adjective
H0979,3,feminine noun
H0980,5,proper locative noun
H0981,4,verb
H0982,120,verb
H0983,42,adverb, masculine noun
H0984,1,proper locative noun
H0985,1,feminine noun
H0986,3,masculine noun
H0987,1,feminine noun
H0988,1,verb
H0989,6,verb
H0990,72,feminine noun
H0991,1,proper locative noun
H0992,1,masculine plural noun
H0993,1,proper locative noun
H0994,12,part of entreaty
H0995,169,verb
H0996,408,masculine substantive (always used as a preposition)
H0997,2,preposition
H0998,38,feminine noun
H0999,1,feminine noun
H1000,6,feminine noun
H1001,1,feminine noun
H1002,16,feminine noun
H1003,2,feminine noun
H1004,2056,proper patrial adjective, adverb, masculine noun
H1005,44,masculine noun
H1006,0,proper locative noun
H1007,7,proper locative noun
H1008,72,proper locative noun
H1009,1,proper locative noun
H1010,2,proper locative noun
H1011,1,proper locative noun
H1012,2,proper locative noun
H1013,1,proper locative noun
H1014,1,proper locative noun
H1015,1,proper locative noun
H1016,2,proper locative noun
H1017,1,adjective
H1018,1,proper locative noun
H1019,0,proper locative noun
H1020,4,proper locative noun
H1021,2,proper locative noun
H1022,4,adjective
H1023,1,proper locative noun
H1024,2,proper locative noun
H1025,1,proper locative noun
H1026,3,proper locative noun
H1027,1,proper locative noun
H1028,1,proper locative noun
H1029,1,proper locative noun
H1030,2,adjective
H1031,3,proper locative noun
H1032,14,proper locative noun
H1033,1,proper locative noun
H1034,1,proper locative noun
H1035,41,proper locative noun
H1036,1,proper locative noun
H1037,0,proper locative noun
H1038,2,proper locative noun
H1039,2,proper locative noun
H1040,0,proper locative noun
H1041,1,proper locative noun
H1042,1,proper locative noun
H1043,3,proper locative noun
H1044,1,proper locative noun
H1045,0,proper locative noun
H1046,2,proper locative noun
H1047,4,proper locative noun
H1048,1,proper locative noun
H1049,4,noun, proper locative noun, proper masculine noun
H1050,2,proper locative noun
H1051,1,proper masculine noun
H1052,9,proper locative noun
H1053,21,proper locative noun
H1054,1,proper locative noun
H1055,3,masculine noun
H1056,1,proper locative noun
H1057,4,masculine noun
H1058,116,verb
H1059,1,masculine noun
H1060,119,masculine noun
H1061,18,masculine plural noun
H1062,14,feminine noun
H1063,2,feminine noun
H1064,1,proper masculine noun
H1065,28,masculine noun
H1066,2,proper locative noun
H1067,6,feminine noun
H1068,1,feminine noun
H1069,3,verb
H1070,1,masculine noun
H1071,5,proper masculine noun
H1072,1,feminine noun
H1073,1,feminine noun
H1074,2,proper masculine noun
H1075,8,adjective, proper masculine noun
H1076,1,adjective
H1077,72,adverb
H1078,3,proper masculine noun
H1079,1,masculine noun
H1080,1,verb
H1081,2,proper masculine noun
H1082,4,verb
H1083,3,proper masculine noun
H1084,1,proper masculine noun
H1085,5,proper masculine noun
H1086,17,verb
H1087,5,adjective
H1088,1,proper locative noun
H1089,0,verb
H1090,11,proper feminine noun, proper locative noun
H1091,10,feminine noun
H1092,4,proper masculine noun
H1093,3,masculine noun
H1094,4,masculine noun
H1095,2,proper masculine noun
H1096,8,proper masculine noun
H1097,58,adverb of negation, substantive
H1098,3,masculine noun
H1099,1,masculine noun
H1100,27,masculine noun
H1101,42,verb
H1102,1,verb
H1103,1,verb
H1104,49,verb
H1105,2,masculine noun
H1106,14,proper locative noun, proper masculine noun
H1107,17,adverb
H1108,1,adjective
H1109,61,proper locative noun, proper masculine noun
H1110,2,verb
H1111,43,proper masculine noun
H1112,1,proper masculine noun
H1113,7,proper masculine noun
H1114,2,proper masculine noun
H1115,112,feminine adjective, adverb, substantive
